"lemma","count","strong","lexicon"
"δωδεκάφυλον",1,"G14290","{'brief': 'the Twelve Tribes of Israel', 'long': 'the Twelve Tribes (of Israel).'}"
"ἄβυσσος",9,"G00120","{'brief': 'the abyss, the unfathomable depth', 'long': 'the abyss, unfathomable depth, an especially Jewish conception, the home of the dead and of evil spirits.'}"
"κατήγορος",5,"G27250","{'brief': 'a prosecutor, accuser', 'long': 'an accuser, prosecutor.'}"
"κατηγορέω",22,"G27230","{'brief': 'I accuse, charge, prosecute', 'long': 'I accuse, charge, prosecute.'}"
"κατηγορία",3,"G27240","{'brief': 'a charge, accusation', 'long': 'an accusation, charge.'}"
"συκοφαντέω",1,"G48110","{'brief': 'I accuse falsely, defraud', 'long': 'I accuse falsely, defraud.'}"
"ἀντίδικος",4,"G04760","{'brief': 'an opponent, adversary', 'long': 'an opponent (at law), an adversary.'}"
"ἐγκαλέω",1,"G14580","{'brief': 'I bring a charge against, accuse', 'long': 'I bring a charge against, accuse.'}"
"ἐνκαλέω",5,"G14580","{'brief': 'I bring a charge against, accuse', 'long': 'I bring a charge against, accuse.'}"
"ἔνκλημα",1,"G14620","{'brief': 'an accusation, charge', 'long': 'an accusation, charge.'}"
"ἔγκλημα",1,"G14620","{'brief': 'an accusation, charge', 'long': 'an accusation, charge.'}"
"εἴδω",95,"G14920","{'brief': 'I know, remember', 'long': 'I know, remember, appreciate.'}"
"ἐπιγινώσκω",34,"G19210","{'brief': 'I come to know, discern, recognize', 'long': 'I come to know by directing my attention to him or it, I perceive, discern, recognize; aor: I found out.'}"
"κυβέρνησις",1,"G29410","{'brief': 'governing, government', 'long': '(lit: steering, piloting), governing, government.'}"
"νουθεσία",3,"G35590","{'brief': 'a warning, admonition', 'long': 'a warning, admonition, counsel.'}"
"νουθετέω",8,"G35600","{'brief': 'I admonish, warn, counsel', 'long': 'I admonish, warn, counsel, exhort.'}"
"ἀντίκειμαι",1,"G04800","{'brief': 'I resist, oppose', 'long': 'I resist, oppose, withstand, lie opposite to.'}"
"ἐχθρός",32,"G21900","{'brief': 'hated, hostile, an enemy', 'long': 'hated, hostile; subst: an enemy.'}"
"ἔχθρα",1,"G21890","{'brief': 'enmity, hostility', 'long': 'enmity, hostility, alienation.'}"
"ὑπεναντίος",1,"G52270","{'brief': 'opposite to, adverse', 'long': 'opposite to, adverse; subst: an adversary.'}"
"θλίβω",5,"G23460","{'brief': 'I make narrow, persecute, press hard', 'long': '(a) I make narrow (strictly: by pressure); I press upon, (b) I persecute, press hard.'}"
"θλῖψις",31,"G23470","{'brief': 'persecution, affliction, distress', 'long': 'persecution, affliction, distress, tribulation.'}"
"μάστιξ",5,"G31480","{'brief': 'a scourge, lash, sufferings', 'long': '(a) a scourge, lash, of leathern thongs with pieces of metal sewn up in them, (b) met: severe pains (sufferings), disease.'}"
"αἰώνιος",1,"G01660","{'brief': 'eternal, unending', 'long': 'age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting.'}"
"αἰών",105,"G01650","{'brief': 'an age, a cycle of time', 'long': 'an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity.'}"
"γενεά",42,"G10740","{'brief': 'a generation', 'long': 'a generation; if repeated twice or with another time word, practically indicates infinity of time.'}"
"ἐλεημοσύνη",13,"G16540","{'brief': 'alms-giving, charity', 'long': 'abstr: alms-giving, charity; concr: alms, charity.'}"
"θάμβος",3,"G22850","{'brief': 'astonishment', 'long': 'astonishment, amazement (allied to terror or awe).'}"
"θαυμάζω",41,"G22960","{'brief': 'I wonder, admire', 'long': '(a) intrans: I wonder, marvel, (b) trans: I wonder at, admire.'}"
"θαυμαστός",5,"G22980","{'brief': 'wonderful, marvelous', 'long': 'to be wondered at, wonderful, marvelous.'}"
"θαῦμα",1,"G22950","{'brief': 'a marvel, wonder', 'long': '(a) concr: a marvel, wonder, (b) abstr: wonder, amazement.'}"
"τέρας",16,"G50590","{'brief': 'a wonder, portent', 'long': 'a wonder, portent, marvel.'}"
"θαμβέω",3,"G22840","{'brief': 'I amaze', 'long': 'I amaze; pass: I am amazed (almost terrified).'}"
"ἐκθαμβέω",3,"G15680","{'brief': 'I am greatly astonished', 'long': 'I am greatly astonished, am awe-struck.'}"
"ἐκπλήσσω",13,"G16050","{'brief': 'I am thunderstruck, astounded', 'long': 'I strike with panic or shock; I amaze, astonish.'}"
"ἔκστασις",4,"G16110","{'brief': 'bewilderment, amazement', 'long': '(properly: distraction or disturbance of mind caused by shock), bewilderment, amazement; a trance.'}"
"ἐξίστημι",15,"G18390","{'brief': 'I astonish, am astonished', 'long': '(lit: I remove from a standing position), (a) in trans. tenses: I astonish, amaze, (b) in intrans. tenses: I am astonished, amazed; I am out of my mind, am mad.'}"
"ἐκθαυμάζω",1,"G15695","{'brief': 'full of astonishment, amazed', 'long': 'full of astonishment, amazed.'}"
"ἔκθαμβος",1,"G15690","{'brief': 'full of astonishment, amazed', 'long': 'full of astonishment, amazed.'}"
"πρεσβεύω",2,"G42430","{'brief': 'I am aged, act as an ambassador', 'long': 'I am aged, act as an ambassador.'}"
"συνοχή",1,"G49280","{'brief': 'distress, anguish', 'long': 'distress, anguish, anxiety.'}"
"ὀδυνάω",2,"G36000","{'brief': 'I torment, pain', 'long': 'I torment, pain; mid. and pass: I am tormented, pained; I suffer acute pain, physical or mental.'}"
"πανοπλία",3,"G38330","{'brief': 'complete armor', 'long': 'complete armor, panoply.'}"
"ὅπλον",6,"G36960","{'brief': 'an instrument, arms, weapons', 'long': 'an instrument; plur: arms, weapons.'}"
"ἀλαζονία",1,"G02120","{'brief': 'boasting, show, arrogant display', 'long': 'boasting, show, arrogant display, ostentation; plur: occasions of ostentation.'}"
"ὑπέρογκος",2,"G52460","{'brief': 'immoderate, boastful', 'long': 'immoderate, boastful, excessive, pompous.'}"
"κονιορτός",2,"G28680","{'brief': 'dust', 'long': 'dust.'}"
"σποδός",3,"G47000","{'brief': 'ashes', 'long': 'ashes.'}"
"τεφρόω",1,"G50770","{'brief': 'I reduce to ashes', 'long': 'I reduce to ashes, consume, destroy.'}"
"χοῦς",2,"G55220","{'brief': 'dust', 'long': 'earth, soil, dust.'}"
"πανήγυρις",1,"G38310","{'brief': 'a festival assembly', 'long': 'a festival assembly.'}"
"συνάγω",38,"G48630","{'brief': 'I gather together', 'long': 'I gather together, collect, assemble, receive with hospitality, entertain.'}"
"συνέρχομαι",21,"G49050","{'brief': 'I come or go with, accompany, assemble', 'long': 'I come or go with, accompany; I come together, assemble.'}"
"συναγωγή",1,"G48640","{'brief': 'an assembly, congregation, synagogue', 'long': 'an assembly, congregation, synagogue, either the place or the people gathered together in the place.'}"
"συναλίζω",1,"G48710","{'brief': 'I am assembled together with', 'long': 'I am assembled together with.'}"
"συνκαλέω",1,"G47790","{'brief': 'I call together', 'long': 'I call together.'}"
"συναθροίζω",1,"G48670","{'brief': 'I gather together, assemble', 'long': 'I gather together, assemble.'}"
"σύνειμι",1,"G48960","{'brief': 'I come together', 'long': 'I come together.'}"
"ἐκκλησία",5,"G15770","{'brief': 'an assembly, congregation, church', 'long': 'an assembly, congregation, church; the Church, the whole body of Christian believers.'}"
"ἐπισυνάγω",3,"G19960","{'brief': 'I collect, gather together', 'long': 'I collect, gather together, assemble.'}"
"ἀθροίζω",1,"G01195","{'brief': 'a contest', 'long': 'a struggling (as in an athletic contest).'}"
