"book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong","alignmentsTotal","alignmentsTextFreqPeak","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"1co","1","1","2","Χριστοῦ",1,0,"by Christ",2,0,"Χριστοῦ = by Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,57.647058823529406,"For Χριστοῦ - Specific alignment ""Χριστοῦ = by Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 2.9% (5.0% of peak 58%)","","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,26.666666666666668,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = you"" used infrequently: 1.3% out of 75 total alignments, threshold 1.3% (5.0% of peak 27%)","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,26.666666666666668,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = agree"" used infrequently: 1.3% out of 75 total alignments, threshold 1.3% (5.0% of peak 27%)","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","28","αὐτῷ",1,0,"same",1,0,"αὐτῷ = same",0.5854800936768151,"αὐτῷ","αὐτός","G08460",854,41.92037470725995,"For αὐτῷ - Specific alignment ""αὐτῷ = same"" used infrequently: 0.6% out of 854 total alignments, threshold 2.1% (5.0% of peak 42%)","","","",""
"1co","1","12","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,66.22222222222223,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 3.3% (5.0% of peak 66%)","","","",""
"1co","1","12","18","Χριστοῦ",1,0,"with Christ",2,0,"Χριστοῦ = with Christ",0.7843137254901961,"Χριστοῦ","χριστός","G55470",255,57.647058823529406,"For Χριστοῦ - Specific alignment ""Χριστοῦ = with Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 2.9% (5.0% of peak 58%)","","","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.7936507936507936,"μὲν","μέν","G33030",126,26.190476190476193,"For μὲν - Specific alignment ""τοῖς μὲν ἀπολλυμένοις = to those who are perishing"" used infrequently: 0.8% out of 126 total alignments, threshold 1.3% (5.0% of peak 26%)","For μὲν - Too many original language words in alignment: 3, threshold 3","For μὲν - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","2","19","τὸ ὄνομα",2,0,"the name",2,0,"τὸ ὄνομα = the name",1.2048192771084338,"ὄνομα","ὄνομα","G36860",83,43.373493975903614,"For ὄνομα - Specific alignment ""τὸ ὄνομα = the name"" used infrequently: 1.2% out of 83 total alignments, threshold 2.2% (5.0% of peak 43%)","","","",""
"1co","1","2","25","αὐτῶν",1,0,"their Lord",2,0,"αὐτῶν = their Lord",0.17857142857142858,"αὐτῶν","αὐτός","G08460",560,52.142857142857146,"For αὐτῶν - Specific alignment ""αὐτῶν = their Lord"" used infrequently: 0.2% out of 560 total alignments, threshold 2.6% (5.0% of peak 52%)","","","",""
"1co","1","20","15","τοῦ κόσμου",2,0,"of the world",3,0,"τοῦ κόσμου = of the world",2.3529411764705883,"κόσμου","κόσμος","G28890",85,51.76470588235295,"For κόσμου - Specific alignment ""τοῦ κόσμου = of the world"" used infrequently: 2.4% out of 85 total alignments, threshold 2.6% (5.0% of peak 52%)","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",0.7936507936507936,"μὲν","μέν","G33030",126,26.190476190476193,"For μὲν - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 0.8% out of 126 total alignments, threshold 1.3% (5.0% of peak 26%)","","","",""
"1co","1","24","1","αὐτοῖς",1,0,"to those",2,0,"αὐτοῖς = to those",0.18018018018018017,"αὐτοῖς","αὐτός","G08460",555,57.117117117117125,"For αὐτοῖς - Specific alignment ""αὐτοῖς = to those"" used infrequently: 0.2% out of 555 total alignments, threshold 2.9% (5.0% of peak 57%)","","","",""
"1co","1","6","3","τοῦ Χριστοῦ",2,0,"about Christ",2,0,"τοῦ Χριστοῦ = about Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,57.647058823529406,"For Χριστοῦ - Specific alignment ""τοῦ Χριστοῦ = about Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 2.9% (5.0% of peak 58%)","","","",""
"1co","10","15","0","λέγω",1,0,"I speak",2,0,"λέγω = I speak",1.7777777777777777,"λέγω","λέγω","G30040",225,66.22222222222223,"For λέγω - Specific alignment ""λέγω = I speak"" used infrequently: 1.8% out of 225 total alignments, threshold 3.3% (5.0% of peak 66%)","","","",""
"1co","10","26","8","αὐτῆς",1,0,"of it",2,0,"αὐτῆς = of it",1.7964071856287425,"αὐτῆς","αὐτός","G08460",167,64.07185628742515,"For αὐτῆς - Specific alignment ""αὐτῆς = of it"" used infrequently: 1.8% out of 167 total alignments, threshold 3.2% (5.0% of peak 64%)","","","",""
"1co","10","29","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,66.22222222222223,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 3.3% (5.0% of peak 66%)","","","",""
