"originalWord","alignment_key","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","lemma","strong"
"ἀμὴν",1667,"mat","5","18","1","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",1850,"mat","5","26","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",2250,"mat","6","2","23","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",2307,"mat","6","5","23","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",2464,"mat","6","16","16","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",3408,"mat","8","10","8","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",4588,"mat","10","15","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",4726,"mat","10","23","11","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",5034,"mat","10","42","13","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",5179,"mat","11","11","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",6567,"mat","13","17","1","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",8774,"mat","16","28","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",9110,"mat","17","20","8","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",9277,"mat","18","3","2","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",9488,"mat","18","13","4","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",9581,"mat","18","18","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",9603,"mat","18","19","2","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",10218,"mat","19","23","5","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",10291,"mat","19","28","3","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",11193,"mat","21","21","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",11400,"mat","21","31","15","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",12799,"mat","23","36","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",12884,"mat","24","2","11","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",13347,"mat","24","34","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",13541,"mat","24","47","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",13747,"mat","25","12","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",14180,"mat","25","40","6","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",14282,"mat","25","45","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",14458,"mat","26","13","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",14578,"mat","26","21","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",14778,"mat","26","34","3","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",18222,"mrk","3","28","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",21306,"mrk","8","12","10","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",21741,"mrk","9","1","3","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",22380,"mrk","9","41","11","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",22701,"mrk","10","15","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",22921,"mrk","10","29","2","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",23679,"mrk","11","23","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",24564,"mrk","12","43","5","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",25047,"mrk","13","30","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",25292,"mrk","14","9","0","ἀμὴν δὲ",2,0,"Truly",1,0,"ἀμὴν δὲ = Truly",1.0101010101010102,"ἀμήν","G02810"
"ἀμὴν",25447,"mrk","14","18","7","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",25550,"mrk","14","25","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",25616,"mrk","14","30","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",29837,"luk","4","24","2","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",37243,"luk","12","37","9","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",40903,"luk","18","17","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",41072,"luk","18","29","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",43189,"luk","21","32","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",46740,"jhn","1","51","3","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
"ἀμὴν",46741,"jhn","1","51","4","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμήν","G02810"
"ἀμὴν",47193,"jhn","3","3","5","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμήν","G02810"
