"originalWord","frequency","counts","countsSeries","total","ratio"
"εἶπον","εἶπον = said                 29
εἶπον = I said               12
εἶπον = and said             10
εἶπον = they said             9
εἶπον = I told                4
εἶπον = I have told           2
εἶπον = told                  2
εἶπον = They said             1
εἶπον = had                   1
εἶπον = I would have told     1
εἶπον = I said this           1
εἶπον = asked                 1
καὶ εἶπον = I said            1
εἶπον = I was                 1
εἶπον = they replied          1
εἶπον = I                     1
εἶπον = speaking              1
εἶπον = tell                  1
εἶπον = The people            1
εἶπον = spoke                 1
Name: alignmentTxt, dtype: int64","[29, 12, 10, 9, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    20.000000
mean      4.050000
std       6.786015
min       1.000000
25%       1.000000
50%       1.000000
75%       2.500000
max      29.000000
Name: alignmentTxt, dtype: float64",81,"[0.35802469135802467, 0.14814814814814814, 0.12345679012345678, 0.1111111111111111, 0.04938271604938271, 0.024691358024691357, 0.024691358024691357, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678]"
"ἔλεγον","ἔλεγον = said                    35
ἔλεγον = they said               13
ἔλεγον = they were saying         3
ἔλεγον = and said                 3
ἔλεγον = saying                   2
ἔλεγον = were saying              2
ἔλεγον = They said                2
ἔλεγον = answered                 1
ἔλεγον = I was saying             1
καὶ ἔλεγον = Some were saying     1
ἔλεγον = they said that           1
ὅτι ἔλεγον = They said            1
ἔλεγον = speaking about           1
καὶ ἔλεγον = They were saying     1
ἔλεγον = I have                   1
ἔλεγον = later said               1
ἔλεγον = I asked                  1
ἔλεγον = I told                   1
ἔλεγον = they                     1
ἔλεγον = told                     1
ἔλεγον = spoke                    1
ἔλεγον = telling                  1
ἔλεγον = kept urging              1
ἔλεγον = and saying               1
καὶ ἔλεγον = They said            1
ἔλεγον = they spoke               1
ἔλεγον = speaking                 1
Name: alignmentTxt, dtype: int64","[35, 13, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    27.000000
mean      2.962963
std       6.813344
min       1.000000
25%       1.000000
50%       1.000000
75%       1.500000
max      35.000000
Name: alignmentTxt, dtype: float64",80,"[0.4375, 0.1625, 0.0375, 0.0375, 0.025, 0.025, 0.025, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125]"
"ἔλεγεν","ἔλεγεν = he said               23
ἔλεγεν = said                  13
ἔλεγεν = and said              10
ἔλεγεν = Jesus said             3
ἔλεγεν = he spoke               3
ἔλεγεν = he                     3
ἔλεγεν = He                     3
ἔλεγεν = said that              2
ἔλεγεν = he was speaking        2
καὶ ἔλεγεν = He said            2
ἔλεγεν = saying                 2
ἔλεγεν = had said               2
ἔλεγεν = and he said            1
ἔλεγεν = she had said           1
ἔλεγεν = But                    1
ἔλεγεν = Jesus                  1
ἔλεγεν = was speaking           1
ἔλεγεν = she said               1
ἔλεγεν = he had been saying     1
ἔλεγεν = He said                1
ἔλεγεν = he was                 1
ἔλεγεν = spoke                  1
Name: alignmentTxt, dtype: int64","[23, 13, 10, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    22.000000
mean      3.545455
std       5.289048
min       1.000000
25%       1.000000
50%       2.000000
75%       3.000000
max      23.000000
Name: alignmentTxt, dtype: float64",78,"[0.2948717948717949, 0.16666666666666666, 0.1282051282051282, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282]"
"λέγουσιν","λέγουσιν = They said             10
λέγουσιν = say                    8
λέγουσιν = said                   8
λέγουσιν = they said              3
λέγουσιν = they say               3
καὶ λέγουσιν = They said          3
λέγουσιν = they told              2
λέγουσιν = and said               2
λέγουσιν = say that               2
καὶ λέγουσιν = said               2
λέγουσιν = They                   1
λέγουσιν = said that              1
λέγουσιν = answered               1
λέγουσιν = they say that          1
λέγουσιν = they say things        1
λέγουσιν = they asked             1
λέγουσιν = they are saying        1
λέγουσιν = They said to           1
λέγουσιν = and say                1
λέγουσιν = some call              1
λέγουσιν = They said to him       1
λέγουσιν = The disciples said     1
λέγουσιν = are saying             1
λέγουσιν = they call              1
οἱ δὲ λέγουσιν = They said        1
λέγουσιν = they                   1
Name: alignmentTxt, dtype: int64","[10, 8, 8, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    26.000000
mean      2.269231
std       2.474796
min       1.000000
25%       1.000000
50%       1.000000
75%       2.000000
max      10.000000
Name: alignmentTxt, dtype: float64",59,"[0.1694915254237288, 0.13559322033898305, 0.13559322033898305, 0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.03389830508474576, 0.03389830508474576, 0.03389830508474576, 0.03389830508474576, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288]"
"τέκνα","τέκνα = children              38
τὰ τέκνα = children           13
τέκνα = Children               3
τὰ τέκνα = Children            2
τέκνα = we are children        1
τὰ τέκνα = for                 1
καὶ τὰ τέκνα = children        1
τέκνα = sons                   1
τέκνα = their children         1
τέκνα = truly his children     1
τέκνα = They are               1
τέκνα = little children        1
ταῦτα τέκνα = the children     1
ταῦτα τέκνα = are              1
Name: alignmentTxt, dtype: int64","[38, 13, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    14.000000
mean      4.714286
std      10.095152
min       1.000000
25%       1.000000
50%       1.000000
75%       1.750000
max      38.000000
Name: alignmentTxt, dtype: float64",66,"[0.5757575757575758, 0.19696969696969696, 0.045454545454545456, 0.030303030303030304, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152]"
"Χριστοῦ","Χριστοῦ = Christ                                           147
Χριστοῦ = of Christ                                         38
τοῦ Χριστοῦ = of Christ                                     37
τοῦ Χριστοῦ = Christ                                         7
Χριστοῦ = Christ's                                           5
Χριστοῦ = in Christ                                          2
τοῦ Χριστοῦ = to Christ                                      2
Χριστοῦ = of                                                 2
Χριστοῦ = with Christ                                        2
Χριστοῦ = for Christ                                         2
Χριστοῦ = from Christ                                        1
τοῦ Χριστοῦ = for the sake of Christ                         1
τοῖς τοῦ Χριστοῦ παθήμασιν = the sufferings of Christ        1
τοῦ Χριστοῦ = is of Christ                                   1
Χριστοῦ = by Christ                                          1
Ἰησοῦ Χριστοῦ = of Jesus Christ                              1
τῶν τοῦ Χριστοῦ παθημάτων = of the sufferings of Christ      1
τοῦ Χριστοῦ = about Christ                                   1
τὸ ὑπὲρ Χριστοῦ = on behalf of Christ                        1
Χριστοῦ = to Christ                                          1
τοῦ Χριστοῦ = of                                             1
Name: alignmentTxt, dtype: int64","[147, 38, 37, 7, 5, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count     21.000000
mean      12.142857
std       32.734211
min        1.000000
25%        1.000000
50%        1.000000
75%        2.000000
max      147.000000
Name: alignmentTxt, dtype: float64",255,"[0.5764705882352941, 0.14901960784313725, 0.1450980392156863, 0.027450980392156862, 0.0196078431372549, 0.00784313725490196, 0.00784313725490196, 0.00784313725490196, 0.00784313725490196, 0.00784313725490196, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098, 0.00392156862745098]"
"Χριστός","Χριστός = Christ         36
ὁ Χριστός = Christ        7
Χριστός = even Christ     1
Name: alignmentTxt, dtype: int64","[36, 7, 1]","count     3.000000
mean     14.666667
std      18.717194
min       1.000000
25%       4.000000
50%       7.000000
75%      21.500000
max      36.000000
Name: alignmentTxt, dtype: float64",44,"[0.8181818181818182, 0.1590909090909091, 0.022727272727272728]"
"Χριστὸς","Χριστὸς = Christ               56
ὁ Χριστὸς = Christ              8
Χριστὸς = is Christ             2
Χριστὸς = Christ is             1
ὁ Χριστὸς = Christ has come     1
Name: alignmentTxt, dtype: int64","[56, 8, 2, 1, 1]","count     5.000000
mean     13.600000
std      23.880955
min       1.000000
25%       1.000000
50%       2.000000
75%       8.000000
max      56.000000
Name: alignmentTxt, dtype: float64",68,"[0.8235294117647058, 0.11764705882352941, 0.029411764705882353, 0.014705882352941176, 0.014705882352941176]"
"Χριστὸν","Χριστὸν = Christ        41
τὸν Χριστὸν = Christ     7
Χριστὸν = for            1
Name: alignmentTxt, dtype: int64","[41, 7, 1]","count     3.000000
mean     16.333333
std      21.571586
min       1.000000
25%       4.000000
50%       7.000000
75%      24.000000
max      41.000000
Name: alignmentTxt, dtype: float64",49,"[0.8367346938775511, 0.14285714285714285, 0.02040816326530612]"
"Χριστῷ","Χριστῷ = Christ          94
τῷ Χριστῷ = Christ        9
τῷ Χριστῷ = to Christ     1
Name: alignmentTxt, dtype: int64","[94, 9, 1]","count     3.000000
mean     34.666667
std      51.539629
min       1.000000
25%       5.000000
50%       9.000000
75%      51.500000
max      94.000000
Name: alignmentTxt, dtype: float64",104,"[0.9038461538461539, 0.08653846153846154, 0.009615384615384616]"
"Πνεύματος","Πνεύματος = Spirit                                                     62
Πνεύματος = of                                                          9
Πνεύματος = the                                                         8
Πνεύματος = of the                                                      6
Πνεύματος = with the                                                    6
Πνεύματος = of the Spirit                                               6
Πνεύματος = the Spirit                                                  3
τοῦ Πνεύματος = Spirit                                                  3
Πνεύματος = with                                                        1
ἡ δὲ τοῦ Πνεύματος βλασφημία = but the blasphemy against the Spirit     1
Πνεύματος = in the Spirit                                               1
τοῦ Πνεύματος = the                                                     1
Πνεύματος = by the                                                      1
τοῦ Πνεύματος = of                                                      1
Πνεύματος Ἁγίου = the Holy Spirit                                       1
Πνεύματος = by the Spirit                                               1
Πνεύματος = from the                                                    1
Πνεύματος = the gifts of the                                            1
Name: alignmentTxt, dtype: int64","[62, 9, 8, 6, 6, 6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    18.000000
mean      6.277778
std      14.174565
min       1.000000
25%       1.000000
50%       1.000000
75%       6.000000
max      62.000000
Name: alignmentTxt, dtype: float64",113,"[0.5486725663716814, 0.07964601769911504, 0.07079646017699115, 0.05309734513274336, 0.05309734513274336, 0.05309734513274336, 0.02654867256637168, 0.02654867256637168, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894]"
"Πνεύματι","Πνεύματι = Spirit                30
Πνεύματι = the Spirit            15
Πνεύματι = the                   13
Πνεύματι = by the Spirit          9
Πνεύματι = spirit                 2
Πνεύματι = with the               1
Πνεύματι = with                   1
Πνεύματι = by the                 1
Πνεύματι = to                     1
τῷ Πνεύματι = with                1
Πνεύματι = through the Spirit     1
Πνεύματι = with the Spirit        1
Πνεύματι = in                     1
τῷ Πνεύματι = spirit              1
Πνεύματι = by                     1
Name: alignmentTxt, dtype: int64","[30, 15, 13, 9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    15.000000
mean      5.266667
std       8.336380
min       1.000000
25%       1.000000
50%       1.000000
75%       5.500000
max      30.000000
Name: alignmentTxt, dtype: float64",79,"[0.379746835443038, 0.189873417721519, 0.16455696202531644, 0.11392405063291139, 0.02531645569620253, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266]"
"Πνεῦμα","Πνεῦμα = Spirit        88
Πνεῦμα = the            8
Πνεῦμα = the Spirit     8
Πνεῦμα = The            1
τὸ Πνεῦμα = Spirit      1
Πνεῦμα = a              1
Πνεῦμα = to             1
Πνεῦμα = spirit         1
Πνεῦμα = The Spirit     1
Name: alignmentTxt, dtype: int64","[88, 8, 8, 1, 1, 1, 1, 1, 1]","count     9.000000
mean     12.222222
std      28.577866
min       1.000000
25%       1.000000
50%       1.000000
75%       8.000000
max      88.000000
Name: alignmentTxt, dtype: float64",110,"[0.8, 0.07272727272727272, 0.07272727272727272, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909]"
"πνεῦμα","πνεῦμα = spirit        23
πνεῦμα = a spirit      12
τὸ πνεῦμα = spirit      6
πνεῦμα = an             2
τὸ πνεῦμα = an          1
εἰς πνεῦμα = a          1
τὸ πνεῦμα = you         1
πνεῦμα = a breath       1
πνεῦμα = a              1
εἰς πνεῦμα = spirit     1
πνεῦμα = breath         1
πνεῦμα = spirits        1
πνεῦμα = wind           1
πνεῦμα = You            1
Name: alignmentTxt, dtype: int64","[23, 12, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    14.000000
mean      3.785714
std       6.338874
min       1.000000
25%       1.000000
50%       1.000000
75%       1.750000
max      23.000000
Name: alignmentTxt, dtype: float64",53,"[0.4339622641509434, 0.22641509433962265, 0.11320754716981132, 0.03773584905660377, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886]"
"μαθηταὶ","μαθηταὶ = disciples                            44
οἱ μαθηταὶ = disciples                         41
οἱ δὲ μαθηταὶ = and the disciples gave them     1
οἱ δὲ μαθηταὶ = The disciples gave them         1
οἱ δὲ μαθηταὶ = disciples                       1
ὅτι οἱ μαθηταὶ = disciples                      1
οἱ γὰρ μαθηταὶ = For                            1
οἱ μαθηταὶ = disciples were                     1
οἱ γὰρ μαθηταὶ = disciples                      1
οἱ δὲ μαθηταὶ = the disciples                   1
Name: alignmentTxt, dtype: int64","[44, 41, 1, 1, 1, 1, 1, 1, 1, 1]","count    10.000000
mean      9.300000
std      17.512218
min       1.000000
25%       1.000000
50%       1.000000
75%       1.000000
max      44.000000
Name: alignmentTxt, dtype: float64",93,"[0.4731182795698925, 0.44086021505376344, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012]"
"μαθητῶν","τῶν μαθητῶν = disciples       27
μαθητῶν = disciples           17
τῶν μαθητῶν = of               7
μαθητῶν = of                   6
τῶν μαθητῶν = some of          1
τῶν μαθητῶν = of disciples     1
Name: alignmentTxt, dtype: int64","[27, 17, 7, 6, 1, 1]","count     6.000000
mean      9.833333
std      10.245324
min       1.000000
25%       2.250000
50%       6.500000
75%      14.500000
max      27.000000
Name: alignmentTxt, dtype: float64",59,"[0.4576271186440678, 0.288135593220339, 0.11864406779661017, 0.1016949152542373, 0.01694915254237288, 0.01694915254237288]"
"μαθηταῖς","τοῖς μαθηταῖς = disciples                  26
μαθηταῖς = disciples                       14
τοῖς μαθηταῖς = to                         14
μαθηταῖς = to                               2
τοῖς δώδεκα μαθηταῖς = twelve disciples     1
Name: alignmentTxt, dtype: int64","[26, 14, 14, 2, 1]","count     5.000000
mean     11.400000
std      10.285913
min       1.000000
25%       2.000000
50%      14.000000
75%      14.000000
max      26.000000
Name: alignmentTxt, dtype: float64",57,"[0.45614035087719296, 0.24561403508771928, 0.24561403508771928, 0.03508771929824561, 0.017543859649122806]"
"θέλω","θέλω = I                 10
θέλω = want               8
θέλω = I want             8
θέλω = I desire           5
θέλω = I am willing       3
θέλω = I wish             2
θέλω = will               2
θέλω = I would like       1
θέλω = desire             1
θέλω = wish               1
θέλω = I would rather     1
θέλω δὲ = I wish that     1
θέλω = want to do         1
θέλω = I will             1
θέλω = I want to do       1
θέλω δὲ = I choose        1
ὃ θέλω = as I want        1
θέλω = I do               1
Name: alignmentTxt, dtype: int64","[10, 8, 8, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    18.000000
mean      2.722222
std       2.946694
min       1.000000
25%       1.000000
50%       1.000000
75%       2.750000
max      10.000000
Name: alignmentTxt, dtype: float64",49,"[0.20408163265306123, 0.16326530612244897, 0.16326530612244897, 0.10204081632653061, 0.061224489795918366, 0.04081632653061224, 0.04081632653061224, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612]"
"αἰώνιον","αἰώνιον = eternal                              35
αἰώνιον = everlasting                           3
τὴν αἰώνιον = eternal                           2
τὸ αἰώνιον = eternal                            2
τὴν αἰώνιον αὐτοῦ δόξαν = his eternal glory     1
αἰώνιον = forever                               1
αἰώνιον = an eternal                            1
Name: alignmentTxt, dtype: int64","[35, 3, 2, 2, 1, 1, 1]","count     7.000000
mean      6.428571
std      12.620844
min       1.000000
25%       1.000000
50%       2.000000
75%       2.500000
max      35.000000
Name: alignmentTxt, dtype: float64",45,"[0.7777777777777778, 0.06666666666666667, 0.044444444444444446, 0.044444444444444446, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223]"
"γένηται","γένηται = will                         3
γένηται = occur                        3
γένηται = may be                       3
γένηται = becomes                      3
γένηται = happen                       3
γένηται = may become                   2
γένηται = it happens                   2
γένηται = be                           2
γένηται = might become                 2
γένηται = he has become one            1
γένηται = might be                     1
γένηται = she lives with               1
γένηται = take place                   1
γένηται = to be                        1
γένηται = will have happened           1
γένηται = he would be                  1
γένηται = was                          1
γένηται = he is taken                  1
γένηται = he may become                1
γένηται = will happen                  1
γένηται = he should be                 1
γένηται = that will become             1
γένηται = that will                    1
γένηται = would                        1
γένηται = there may be                 1
γένηται = that                         1
γένηται = it may be                    1
γένηται = when                         1
γένηται = it might become              1
γένηται = he happens                   1
γένηται = arise                        1
γένηται = might come                   1
γένηται = he might be                  1
γένηται = might be done                1
γένηται = have been accomplished       1
γένηται = become                       1
γένηται = it might                     1
ὑπόδικος γένηται = held accountable    1
γένηται = May there                    1
Name: alignmentTxt, dtype: int64","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    39.000000
mean      1.358974
std       0.706629
min       1.000000
25%       1.000000
50%       1.000000
75%       1.000000
max       3.000000
Name: alignmentTxt, dtype: float64",53,"[0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886]"
"ἐγένετο","ἐγένετο = it happened that         38
ἐγένετο = came                     21
ἐγένετο = there was                18
ἐγένετο = became                   14
ἐγένετο = happened                 10
                                   ..
ἐγένετο = made                      1
ἐγένετο = become                    1
καὶ ἐγένετο = She has become        1
ἐγένετο συνδρομὴ = ran together     1
ἐγένετο σὺν = joined                1
Name: alignmentTxt, Length: 71, dtype: int64","[38, 21, 18, 14, 10, 8, 7, 6, 5, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    71.000000
mean      2.943662
std       5.603283
min       1.000000
25%       1.000000
50%       1.000000
75%       2.000000
max      38.000000
Name: alignmentTxt, dtype: float64",209,"[0.18181818181818182, 0.10047846889952153, 0.0861244019138756, 0.06698564593301436, 0.04784688995215311, 0.03827751196172249, 0.03349282296650718, 0.028708133971291867, 0.023923444976076555, 0.019138755980861243, 0.014354066985645933, 0.014354066985645933, 0.014354066985645933, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311, 0.004784688995215311]"
"γενομένης","γενομένης = when                 8
γενομένης = came                 7
γενομένης = When                 5
γενομένης = had come             3
γενομένης = when it became       2
γενομένης = when it was          2
γενομένης = arrived              2
γενομένης = had                  2
γενομένης δὲ = arises            1
γενομένης = happens              1
γενομένης = When it was          1
γενομένης δὲ = When              1
γενομένης = arose                1
γενομένης = When it became       1
γενομένης = happened             1
γενομένης = there was            1
γενομένης = comes                1
γενομένης = it became            1
γενομένης = that was made        1
γενομένης = come                 1
τῆς γενομένης = that happened    1
γενομένης = When there was       1
γενομένης = was formed           1
γενομένης = after                1
γενομένης = was                  1
Name: alignmentTxt, dtype: int64","[8, 7, 5, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    25.000000
mean      1.920000
std       1.913113
min       1.000000
25%       1.000000
50%       1.000000
75%       2.000000
max       8.000000
Name: alignmentTxt, dtype: float64",48,"[0.16666666666666666, 0.14583333333333334, 0.10416666666666667, 0.0625, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332]"
"ἐθνῶν","ἐθνῶν = Gentiles             15
ἐθνῶν = nations               8
ἐθνῶν = the Gentiles          7
ἐθνῶν = of the Gentiles       4
ἐθνῶν = of                    4
ἐθνῶν = to the Gentiles       3
ἐθνῶν = of Gentiles           2
ἐθνῶν = nation                1
ἐθνῶν = of nations            1
ἐθνῶν = for the Gentiles      1
τῶν ἐθνῶν = Gentiles          1
ἐθνῶν = of the                1
ἐθνῶν = over the Gentiles     1
Name: alignmentTxt, dtype: int64","[15, 8, 7, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1]","count    13.000000
mean      3.769231
std       4.126214
min       1.000000
25%       1.000000
50%       2.000000
75%       4.000000
max      15.000000
Name: alignmentTxt, dtype: float64",49,"[0.30612244897959184, 0.16326530612244897, 0.14285714285714285, 0.08163265306122448, 0.08163265306122448, 0.061224489795918366, 0.04081632653061224, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612]"
"ἔθνη","ἔθνη = Gentiles           23
ἔθνη = nations            20
ἔθνη = the Gentiles        5
τὰ ἔθνη = nations          1
ἔθνη = you Gentiles        1
τὰ ἔθνη = you Gentiles     1
τὰ ἔθνη = Gentiles         1
ἔθνη = pagans              1
Name: alignmentTxt, dtype: int64","[23, 20, 5, 1, 1, 1, 1, 1]","count     8.00000
mean      6.62500
std       9.31876
min       1.00000
25%       1.00000
50%       1.00000
75%       8.75000
max      23.00000
Name: alignmentTxt, dtype: float64",53,"[0.4339622641509434, 0.37735849056603776, 0.09433962264150944, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886]"
"δόξαν","δόξαν = glory                                                  32
τὴν δόξαν = glory                                              10
δόξαν = praise                                                  7
δόξαν = the glory                                               4
τὴν αἰώνιον αὐτοῦ δόξαν = his eternal glory                     1
εἰς τὴν δόξαν = praise                                          1
μέλλουσαν δόξαν ἀποκαλυφθῆναι = glory that will be revealed     1
δόξαν = his glory                                               1
δόξαν = the praise                                              1
Name: alignmentTxt, dtype: int64","[32, 10, 7, 4, 1, 1, 1, 1, 1]","count     9.000000
mean      6.444444
std      10.125600
min       1.000000
25%       1.000000
50%       1.000000
75%       7.000000
max      32.000000
Name: alignmentTxt, dtype: float64",58,"[0.5517241379310345, 0.1724137931034483, 0.1206896551724138, 0.06896551724137931, 0.017241379310344827, 0.017241379310344827, 0.017241379310344827, 0.017241379310344827, 0.017241379310344827]"
"δόξης","δόξης = glory                                                              25
τῆς δόξης = of glory                                                        5
τῆς δόξης = glory                                                           4
δόξης = glorious                                                            4
δόξης = of                                                                  3
τῆς δόξης = of                                                              3
δόξης = brightness                                                          1
δόξης = honor                                                               1
τῆς μελλούσης ἀποκαλύπτεσθαι δόξης = in the glory that will be revealed     1
τῆς δόξης = glorious                                                        1
δόξης = the glory                                                           1
δόξης = of the glory                                                        1
δόξης = his own glory                                                       1
δόξης = of glory                                                            1
τῆς δόξης = the Lord of glory                                               1
τῆς δόξης = glorious presence                                               1
Name: alignmentTxt, dtype: int64","[25, 5, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    16.000000
mean      3.375000
std       5.931554
min       1.000000
25%       1.000000
50%       1.000000
75%       3.250000
max      25.000000
Name: alignmentTxt, dtype: float64",54,"[0.46296296296296297, 0.09259259259259259, 0.07407407407407407, 0.07407407407407407, 0.05555555555555555, 0.05555555555555555, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517]"
