"id","orginalWord","lemma","strong","alignmentsForOriginalWord","alignmentFrequency%","alignmentFreq","alignmentFreq-min","alignmentFreq-max","alignmentFreq-mean","alignmentFreq-stddev","alignmentFreq-total","alignmentFreq-meanNormalized","alignmentFreq-stddevNormalized","origWordsCount-min","origWordsCount-max","origWordsCount-mean","origWordsCount-stddev","origWordsCount-total","origWordsCount-meanNormalized","origWordsCount-stddevNormalized","origWordsBetween-min","origWordsBetween-max","origWordsBetween-mean","origWordsBetween-stddev","origWordsBetween-total","origWordsBetween-meanNormalized","origWordsBetween-stddevNormalized","targetWordsCount-min","targetWordsCount-max","targetWordsCount-mean","targetWordsCount-stddev","targetWordsCount-total","targetWordsCount-meanNormalized","targetWordsCount-stddevNormalized","targetWordsBetween-min","targetWordsBetween-max","targetWordsBetween-mean","targetWordsBetween-stddev","targetWordsBetween-total","targetWordsBetween-meanNormalized","targetWordsBetween-stddevNormalized"
"Θεοῦ","Θεοῦ","θεός","G23160",32,"{'Θεοῦ = Бога': 37.5, 'τοῦ Θεοῦ = Бога': 31.25, 'τοῦ Θεοῦ = Божье': 6.25, 'τοῦ Θεοῦ = Божьего': 6.25, 'τοῦ Θεοῦ = Божьей': 6.25, 'Θεοῦ = Божий': 3.125, 'Θεοῦ = Божий': 3.125, 'τοῦ Θεοῦ = Божьей': 3.125, 'τοῦ Θεοῦ = Божья': 3.125}","[12, 10, 2, 2, 2, 1, 1, 1, 1]",1,12,3.5555555555555554,4.030746032714901,32,0.1111111111111111,0.12596081352234065,1,2,1.5625,0.49607837082461076,50,0.03125,0.009921567416492213,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,32,0.03125,0.0,0,0,0.0,0.0,0,0,0
"Θεόν","Θεόν","θεός","G23160",1,"{'τὸν Θεόν = Бога': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεὸν","Θεὸν","θεός","G23160",2,"{'τὸν Θεὸν = Богу': 50.0, 'Θεὸν = Бога': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,2,1.5,0.5,3,0.5,0.16666666666666666,0,1,0.5,0.5,1,0.5,0.5,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"Θεὸς","Θεὸς","θεός","G23160",7,"{'ὁ Θεὸς = Бог': 71.42857142857143, 'Θεὸς = Бог': 28.57142857142857}","[5, 2]",2,5,3.5,1.5,7,0.5,0.21428571428571427,1,2,1.7142857142857142,0.45175395145262565,12,0.14285714285714285,0.03764616262105214,0,1,0.14285714285714285,0.34992710611188266,1,0.14285714285714285,0.34992710611188266,1,1,1.0,0.0,7,0.14285714285714285,0.0,0,0,0.0,0.0,0,0,0
"Θεῷ","Θεῷ","θεός","G23160",5,"{'τῷ Θεῷ = Бога': 20.0, 'τῷ Θεῷ = с Богом': 20.0, 'Θεῷ = в Бога': 20.0, 'τῷ Θεῷ = Богу': 20.0, 'τῷ Θεῷ = Боге': 20.0}","[1, 1, 1, 1, 1]",1,1,1.0,0.0,5,0.2,0.0,1,2,1.8,0.4,9,0.2,0.04444444444444444,0,0,0.0,0.0,0,0.0,0.0,1,2,1.4,0.4898979485566356,7,0.19999999999999998,0.06998542122237651,0,0,0.0,0.0,0,0,0
"Κρήτῃ","Κρήτῃ","Κρήτη","G29140",1,"{'Κρήτῃ = Крите': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κρῆτες","Κρῆτες","Κρής","G29120",1,"{'Κρῆτες = Критяне': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κυρίου","Κυρίου","κύριος","G29620",8,"{'Κυρίου = Господа': 50.0, 'τοῦ Κυρίου = Господа': 50.0}","[4, 4]",4,4,4.0,0.0,8,0.5,0.0,1,2,1.5,0.5,12,0.125,0.04166666666666667,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,8,0.125,0.0,0,0,0.0,0.0,0,0,0
"Κυρίῳ","Κυρίῳ","κύριος","G29620",13,"{'Κυρίῳ = Господе': 53.84615384615385, 'τῷ Κυρίῳ = Господу': 15.384615384615385, 'τῷ Κυρίῳ = Господа': 15.384615384615385, 'τῷ Κυρίῳ = Богу': 7.6923076923076925, 'τῷ Κυρίῳ = Господе': 7.6923076923076925}","[7, 2, 2, 1, 1]",1,7,2.6,2.244994432064365,13,0.2,0.17269187938956654,1,2,1.4615384615384615,0.498518515262143,19,0.07692307692307691,0.02623781659274438,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,13,0.07692307692307693,0.0,0,0,0.0,0.0,0,0,0
"Κύριον","Κύριον","κύριος","G29620",1,"{'τὸν Κύριον = Господа': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κύριος","Κύριος","κύριος","G29620",1,"{'Κύριος = Господь': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κύριός","Κύριός","κύριος","G29620",1,"{'ὁ Κύριός = Господь': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Πατέρα","Πατέρα","πατήρ","G39620",2,"{'τὸν Πατέρα = Отцу': 50.0, 'τὸν Πατέρα = Отцом': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,2,2,2.0,0.0,4,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"Πατρί","Πατρί","πατήρ","G39620",1,"{'Πατρί = Отца': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Πατρὸς","Πατρὸς","πατήρ","G39620",3,"{'Πατρὸς = Отца': 100.0}","[3]",3,3,3.0,0.0,3,1.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0
"Πατὴρ","Πατὴρ","πατήρ","G39620",3,"{'Πατὴρ = Отец': 66.66666666666666, 'ὁ Πατὴρ = Отец': 33.33333333333333}","[2, 1]",1,2,1.5,0.5,3,0.5,0.16666666666666666,1,2,1.3333333333333333,0.4714045207910317,4,0.3333333333333333,0.11785113019775792,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0
"Παῦλος","Παῦλος","Παῦλος","G39720",3,"{'Παῦλος = Павел': 100.0}","[3]",3,3,3.0,0.0,3,1.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0
"Πνεύματι","Πνεύματι","πνεῦμα","G41510",6,"{'Πνεύματι = Духе': 66.66666666666666, 'ἐν Πνεύματι = Духом': 16.666666666666664, 'τῷ Πνεύματι = Духа': 16.666666666666664}","[4, 1, 1]",1,4,2.0,1.4142135623730951,6,0.3333333333333333,0.23570226039551584,1,2,1.3333333333333333,0.4714045207910317,8,0.16666666666666666,0.05892556509887896,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,6,0.16666666666666666,0.0,0,0,0.0,0.0,0,0,0
