"book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong","alignmentsTotal","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"1co","1","1","2","Χριστοῦ",1,0,"by Christ",2,0,"Χριστοῦ = by Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,"For Χριστοῦ - Specific alignment ""Χριστοῦ = by Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 5%","","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",50.0,"λέγητε","λέγω","G30040",2,"","For λέγητε - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = you"" used infrequently: 1.3% out of 75 total alignments, threshold 5%","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",50.0,"λέγητε","λέγω","G30040",2,"","For λέγητε - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = agree"" used infrequently: 1.3% out of 75 total alignments, threshold 5%","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","28","αὐτῷ",1,0,"same",1,0,"αὐτῷ = same",0.5861664712778429,"αὐτῷ","αὐτός","G08460",853,"For αὐτῷ - Specific alignment ""αὐτῷ = same"" used infrequently: 0.6% out of 853 total alignments, threshold 5%","","","",""
"1co","1","10","33","αὐτῇ",1,0,"same",1,0,"αὐτῇ = same",2.7522935779816518,"αὐτῇ","αὐτός","G08460",109,"For αὐτῇ - Specific alignment ""αὐτῇ = same"" used infrequently: 2.8% out of 109 total alignments, threshold 5%","","","",""
"1co","1","11","1","ἐδηλώθη",1,0,"it has been made clear",5,0,"ἐδηλώθη = it has been made clear",100.0,"ἐδηλώθη","δηλόω","G12130",1,"","","For ἐδηλώθη - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","12","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5%","","","",""
"1co","1","12","18","Χριστοῦ",1,0,"with Christ",2,0,"Χριστοῦ = with Christ",0.7843137254901961,"Χριστοῦ","χριστός","G55470",255,"For Χριστοῦ - Specific alignment ""Χριστοῦ = with Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 5%","","","",""
"1co","1","12","9","Παύλου",1,0,"with Paul",2,0,"Παύλου = with Paul",3.3333333333333335,"Παύλου","Παῦλος","G39720",30,"For Παύλου - Specific alignment ""Παύλου = with Paul"" used infrequently: 3.3% out of 30 total alignments, threshold 5%","","","",""
"1co","1","15","3","εἴπῃ",1,0,"might say",2,0,"εἴπῃ = might say",4.545454545454546,"εἴπῃ","λέγω","G30040",22,"For εἴπῃ - Specific alignment ""εἴπῃ = might say"" used infrequently: 4.5% out of 22 total alignments, threshold 5%","","","",""
"1co","1","16","4","οἶκον",1,0,"household",1,0,"οἶκον = household",4.25531914893617,"οἶκον","οἶκος","G36240",47,"For οἶκον - Specific alignment ""οἶκον = household"" used infrequently: 4.3% out of 47 total alignments, threshold 5%","","","",""
"1co","1","17","11","λόγου",1,0,"speech",1,0,"λόγου = speech",3.225806451612903,"λόγου","λόγος","G30560",31,"For λόγου - Specific alignment ""λόγου = speech"" used infrequently: 3.2% out of 31 total alignments, threshold 5%","","","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.78125,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""τοῖς μὲν ἀπολλυμένοις = to those who are perishing"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","For μὲν - Too many original language words in alignment: 3, threshold 3","For μὲν - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",25.0,"ἀπολλυμένοις","ἀπόλλυμι","G06220",4,"","For ἀπολλυμένοις - Too many original language words in alignment: 3, threshold 3","For ἀπολλυμένοις - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","2","19","τὸ ὄνομα",2,0,"the name",2,0,"τὸ ὄνομα = the name",1.1904761904761905,"ὄνομα","ὄνομα","G36860",84,"For ὄνομα - Specific alignment ""τὸ ὄνομα = the name"" used infrequently: 1.2% out of 84 total alignments, threshold 5%","","","",""
"1co","1","2","25","αὐτῶν",1,0,"their Lord",2,0,"αὐτῶν = their Lord",0.17857142857142858,"αὐτῶν","αὐτός","G08460",560,"For αὐτῶν - Specific alignment ""αὐτῶν = their Lord"" used infrequently: 0.2% out of 560 total alignments, threshold 5%","","","",""
"1co","1","2","5","ἡγιασμένοις",1,0,"to those who have been sanctified",6,0,"ἡγιασμένοις = to those who have been sanctified",33.33333333333333,"ἡγιασμένοις","ἁγιάζω","G00370",3,"","","For ἡγιασμένοις - Too many target language words in alignment: 6, threshold 5","",""
"1co","1","20","15","τοῦ κόσμου",2,0,"of the world",3,0,"τοῦ κόσμου = of the world",2.4096385542168677,"κόσμου","κόσμος","G28890",83,"For κόσμου - Specific alignment ""τοῦ κόσμου = of the world"" used infrequently: 2.4% out of 83 total alignments, threshold 5%","","","",""
"1co","1","20","8","τοῦ αἰῶνος",2,0,"world",1,0,"τοῦ αἰῶνος = world",3.225806451612903,"αἰῶνος","αἰών","G01650",31,"For αἰῶνος - Specific alignment ""τοῦ αἰῶνος = world"" used infrequently: 3.2% out of 31 total alignments, threshold 5%","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",0.78125,"μὲν","μέν","G33030",128,"For μὲν - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",2.857142857142857,"Ἰουδαίοις","Ἰουδαῖος","G24530",35,"For Ἰουδαίοις - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 2.9% out of 35 total alignments, threshold 5%","","","",""
"1co","1","23","9","ἔθνεσιν",1,0,"to Greeks",2,0,"ἔθνεσιν = to Greeks",2.631578947368421,"ἔθνεσιν","ἔθνος","G14840",38,"For ἔθνεσιν - Specific alignment ""ἔθνεσιν = to Greeks"" used infrequently: 2.6% out of 38 total alignments, threshold 5%","","","",""
