"book_id","chapter","verse","alignment_num","orig_lang_keys","target_lang_keys","origWords","origWordsTxt","alignmentOrigWords","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween","warnings"
"1co","1","10","13",",90498,90499,90500,",",119099,","[{'id': 90498, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 90499, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'αὐτὸ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 90500, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'λέγητε', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,SPA2,,P,'}]","τὸ αὐτὸ λέγητε",3,"[{'id': 119099, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'you', 'occurrence': 2}]","you",1,"τὸ αὐτὸ λέγητε = you",0.5,1,0,0,"[""Too many original language words in alignment: 3, threshold 3""]"
"1co","1","10","13",",90498,90499,90500,",",119099,","[{'id': 90498, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 90499, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'αὐτὸ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 90500, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'λέγητε', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,SPA2,,P,'}]","τὸ αὐτὸ λέγητε",3,"[{'id': 119099, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'you', 'occurrence': 2}]","you",1,"τὸ αὐτὸ λέγητε = you",0.0005837711617046118,1,0,0,"[""Too many original language words in alignment: 3, threshold 3""]"
"1co","1","10","15",",90498,90499,90500,",",119101,","[{'id': 90498, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 90499, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'αὐτὸ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 90500, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'λέγητε', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,SPA2,,P,'}]","τὸ αὐτὸ λέγητε",3,"[{'id': 119101, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 16, 'word': 'agree', 'occurrence': 1}]","agree",1,"τὸ αὐτὸ λέγητε = agree",0.5,1,0,0,"[""Too many original language words in alignment: 3, threshold 3""]"
"1co","1","10","15",",90498,90499,90500,",",119101,","[{'id': 90498, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 90499, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'αὐτὸ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 90500, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'λέγητε', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,SPA2,,P,'}]","τὸ αὐτὸ λέγητε",3,"[{'id': 119101, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 16, 'word': 'agree', 'occurrence': 1}]","agree",1,"τὸ αὐτὸ λέγητε = agree",0.0005837711617046118,1,0,0,"[""Too many original language words in alignment: 3, threshold 3""]"
"1co","1","11","1",",90520,",",119126,119127,119128,119129,119130,","[{'id': 90520, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 0, 'word': 'ἐδηλώθη', 'occurrence': 1, 'strong': 'G12130', 'lemma': 'δηλόω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐδηλώθη",1,"[{'id': 119126, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 1, 'word': 'it', 'occurrence': 1}, {'id': 119127, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 2, 'word': 'has', 'occurrence': 1}, {'id': 119128, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 3, 'word': 'been', 'occurrence': 1}, {'id': 119129, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 4, 'word': 'made', 'occurrence': 1}, {'id': 119130, 'book_id': '1co', 'chapter': '1', 'verse': '11', 'word_num': 5, 'word': 'clear', 'occurrence': 1}]","it has been made clear",5,"ἐδηλώθη = it has been made clear",1.0,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","18","7",",90627,90628,90629,",",119277,119278,119279,119280,119281,","[{'id': 90627, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 6, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DMP,'}, {'id': 90628, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 7, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 90629, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'ἀπολλυμένοις', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,PPM,DMP,'}]","τοῖς μὲν ἀπολλυμένοις",3,"[{'id': 119277, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 119278, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 9, 'word': 'those', 'occurrence': 1}, {'id': 119279, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 10, 'word': 'who', 'occurrence': 1}, {'id': 119280, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 11, 'word': 'are', 'occurrence': 1}, {'id': 119281, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 12, 'word': 'perishing', 'occurrence': 1}]","to those who are perishing",5,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.001519756838905775,1,0,0,"[""Too many original language words in alignment: 3, threshold 3"", ""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","18","7",",90627,90628,90629,",",119277,119278,119279,119280,119281,","[{'id': 90627, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 6, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DMP,'}, {'id': 90628, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 7, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 90629, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'ἀπολλυμένοις', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,PPM,DMP,'}]","τοῖς μὲν ἀπολλυμένοις",3,"[{'id': 119277, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 119278, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 9, 'word': 'those', 'occurrence': 1}, {'id': 119279, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 10, 'word': 'who', 'occurrence': 1}, {'id': 119280, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 11, 'word': 'are', 'occurrence': 1}, {'id': 119281, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 12, 'word': 'perishing', 'occurrence': 1}]","to those who are perishing",5,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.25,1,0,0,"[""Too many original language words in alignment: 3, threshold 3"", ""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","18","7",",90627,90628,90629,",",119277,119278,119279,119280,119281,","[{'id': 90627, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 6, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DMP,'}, {'id': 90628, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 7, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 90629, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'ἀπολλυμένοις', 'occurrence': 1, 'strong': 'G06220', 'lemma': 'ἀπόλλυμι', 'morph': 'Gr,V,PPM,DMP,'}]","τοῖς μὲν ἀπολλυμένοις",3,"[{'id': 119277, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 119278, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 9, 'word': 'those', 'occurrence': 1}, {'id': 119279, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 10, 'word': 'who', 'occurrence': 1}, {'id': 119280, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 11, 'word': 'are', 'occurrence': 1}, {'id': 119281, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 12, 'word': 'perishing', 'occurrence': 1}]","to those who are perishing",5,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.0078125,1,0,0,"[""Too many original language words in alignment: 3, threshold 3"", ""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","2","5",",90362,",",118923,118924,118925,118926,118927,118928,","[{'id': 90362, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 4, 'word': 'ἡγιασμένοις', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,DMP,'}]","ἡγιασμένοις",1,"[{'id': 118923, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 7, 'word': 'to', 'occurrence': 2}, {'id': 118924, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 8, 'word': 'those', 'occurrence': 1}, {'id': 118925, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 9, 'word': 'who', 'occurrence': 1}, {'id': 118926, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 10, 'word': 'have', 'occurrence': 1}, {'id': 118927, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 11, 'word': 'been', 'occurrence': 1}, {'id': 118928, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 12, 'word': 'sanctified', 'occurrence': 1}]","to those who have been sanctified",6,"ἡγιασμένοις = to those who have been sanctified",0.3333333333333333,1,0,0,"[""Too many target language words in alignment: 6, threshold 5""]"
"1co","1","28","2",",90789,90790,90791,",",119494,119495,119496,","[{'id': 90789, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 90790, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 1, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 90791, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 2, 'word': 'ἀγενῆ', 'occurrence': 1, 'strong': 'G00360', 'lemma': 'ἀγενής', 'morph': 'Gr,NS,,,,ANP,'}]","καὶ τὰ ἀγενῆ",3,"[{'id': 119494, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 2, 'word': 'what', 'occurrence': 1}, {'id': 119495, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 3, 'word': 'is', 'occurrence': 1}, {'id': 119496, 'book_id': '1co', 'chapter': '1', 'verse': '28', 'word_num': 4, 'word': 'low', 'occurrence': 1}]","what is low",3,"καὶ τὰ ἀγενῆ = what is low",0.0011976047904191617,1,0,0,"[""Too many original language words in alignment: 3, threshold 3""]"
